word,is_clueable,zipf,pos,flags,theme_tags,banned,in_must_keep,sources
ABYSSAL,True,,,,,False,,PLAY|WL
ABYSSES,True,,,,,False,,PLAY|WL
ACACIA,True,3.01,noun,atomic=False,,False,,BAS|PLAY|WL
ACACIAS,True,,,,,False,,PLAY|WL
ACADEME,True,,,,,False,,PLAY|WL
ACADEMES,True,,,,,False,,PLAY|WL
ACADEMIA,True,3.54,noun,atomic=True,,False,,BAS|PLAY|WL
ACADEMIAS,True,,,,,False,,PLAY|WL
ACADEMIC,True,4.57,noun,atomic=False,,False,,BAS|PLAY|WL
ACADEMICS,True,3.78,noun,atomic=False,,False,,BAS|PLAY|WL
ACADEMIES,True,3.34,noun,atomic=False,,False,,BAS|PLAY|WL
ACADEMISM,True,,,,,False,,PLAY|WL
ACADEMY,True,4.57,noun,atomic=False,,False,,BAS|PLAY|WL
ACAJOU,True,,,,,False,,PLAY|WL
ACAJOUS,True,,,,,False,,PLAY|WL
ACALEPH,True,,,,,False,,PLAY|WL
ACALEPHAE,True,,,,,False,,PLAY|WL
ACALEPHE,True,,,,,False,,PLAY|WL
ACALEPHES,True,,,,,False,,PLAY|WL
ACALEPHS,True,,,,,False,,PLAY|WL
ACANTHI,True,,,,,False,,PLAY|WL
ACANTHUS,True,,,,,False,,PLAY|WL
ACAPNIA,True,,,,,False,,PLAY|WL
ACAPNIAS,True,,,,,False,,PLAY|WL
ACARI,True,,,,,False,,PLAY|WL
ACARIASES,True,,,,,False,,PLAY|WL
ACARIASIS,True,,,,,False,,PLAY|WL
ACARICIDE,True,,,,,False,,PLAY|WL
ACARID,True,,,,,False,,PLAY|WL
ACARIDAN,True,,,,,False,,PLAY|WL
ACARIDANS,True,,,,,False,,PLAY|WL
ACARIDS,True,,,,,False,,PLAY|WL
ACARINE,True,,,,,False,,PLAY|WL
ACARINES,True,,,,,False,,PLAY|WL
ACAROID,True,,,,,False,,PLAY|WL
ACARPOUS,True,,,,,False,,PLAY|WL
ACARUS,True,,,,,False,,PLAY|WL
ACAUDAL,True,,,,,False,,PLAY|WL
ACAUDATE,True,,,,,False,,PLAY|WL
ACAULINE,True,,,,,False,,PLAY|WL
ACAULOSE,True,,,,,False,,PLAY|WL
ACAULOUS,True,,,,,False,,PLAY|WL
ACCEDE,True,,,,,False,,PLAY|WL
ACCEDED,True,,,,,False,,PLAY|WL
ACCEDER,True,,,,,False,,PLAY|WL
ACCEDERS,True,,,,,False,,PLAY|WL
ACCEDES,True,,,,,False,,PLAY|WL
ACCEDING,True,,,,,False,,PLAY|WL
ACCENT,True,4.14,noun,atomic=False,,False,,BAS|PLAY|WL
ACCENTED,True,2.9,verb,atomic=False,,False,,BAS|PLAY|WL
ACCENTING,True,,,,,False,,PLAY|WL
ACCENTOR,True,,,,,False,,PLAY|WL
ACCENTORS,True,,,,,False,,PLAY|WL
ACCENTS,True,3.57,noun,atomic=False,,False,,BAS|PLAY|WL
ACCENTUAL,True,,,,,False,,PLAY|WL
ACCEPT,True,4.85,verb,atomic=False,,False,,BAS|PLAY|WL
ACCEPTANT,True,,,,,False,,PLAY|WL
ACCEPTED,True,4.67,verb,atomic=False,,False,,BAS|PLAY|WL
ACCEPTEE,True,,,,,False,,PLAY|WL
ACCEPTEES,True,,,,,False,,PLAY|WL
ACCEPTER,True,,,,,False,,PLAY|WL
ACCEPTERS,True,,,,,False,,PLAY|WL
ACCEPTING,True,4.18,verb,atomic=False,,False,,BAS|PLAY|WL
ACCEPTIVE,True,,,,,False,,PLAY|WL
ACCEPTOR,True,2.75,noun,atomic=False,,False,,BAS|PLAY|WL
ACCEPTORS,True,,,,,False,,PLAY|WL
ACCEPTS,True,3.88,verb,atomic=False,,False,,BAS|PLAY|WL
ACCESS,True,5.05,noun,atomic=False,,False,,BAS|PLAY|WL
ACCESSARY,True,,,,,False,,PLAY|WL
ACCESSED,True,3.89,verb,atomic=False,,False,,BAS|PLAY|WL
ACCESSES,True,2.68,noun,atomic=False,,False,,BAS|PLAY|WL
ACCESSING,True,3.48,verb,atomic=False,,False,,BAS|PLAY|WL
ACCESSION,True,3.4,noun,atomic=False,,False,,BAS|PLAY|WL
ACCESSORY,True,3.63,noun,atomic=False,,False,,BAS|PLAY|WL
ACCIDENCE,True,,,,,False,,PLAY|WL
ACCIDENT,True,4.71,noun,atomic=False,,False,,BAS|PLAY|WL
ACCIDENTS,True,4.16,noun,atomic=False,,False,,BAS|PLAY|WL
ACCIDIA,True,,,,,False,,PLAY|WL
ACCIDIAS,True,,,,,False,,PLAY|WL
