word,pos,zipf,flags,theme_tags
agonists,noun,2.69,atomic=False,
agonizing,verb,2.99,atomic=False,
agony,noun,3.6,atomic=True,
agora,noun,2.72,atomic=False,
agrarian,adj,3.2,atomic=False,
agree,verb,4.97,atomic=True,
agreeable,adj,3.19,atomic=False,
agreed,verb,4.84,atomic=True,
agreeing,verb,3.83,atomic=False,
agreement,noun,4.88,atomic=False,
agrees,verb,4.08,atomic=True,
aground,adj,2.83,atomic=True,
ahead,adj,5.01,atomic=True,
ahem,noun,3.25,atomic=True,
aid,noun,4.75,atomic=True,
aide,noun,3.69,atomic=True,
aided,verb,3.74,atomic=False,
aides,noun,3.41,atomic=True,
aiding,verb,3.44,atomic=False,
aids,noun,4.25,atomic=True,
aikido,noun,2.67,atomic=False,
ailing,verb,3.08,atomic=False,
ailment,noun,2.98,atomic=False,
ailments,noun,3.22,atomic=False,
aim,noun,4.51,atomic=True,
aimed,verb,4.25,atomic=True,
aiming,verb,3.89,atomic=False,
aimless,adj,2.65,atomic=False,
aimlessly,adv,2.82,atomic=False,
aims,noun,4.21,atomic=True,
ain,adj,3.46,atomic=True,
air,noun,5.37,atomic=True,
airborne,adj,3.67,atomic=False,
airbrush,noun,2.66,atomic=False,
airbus,noun,3.33,atomic=False,
aircraft,noun,4.64,atomic=False,
aired,verb,3.85,atomic=True,
airfare,noun,2.83,atomic=False,
airfield,noun,3.29,atomic=False,
airfields,noun,2.7,atomic=False,
airflow,noun,3.08,atomic=False,
airframe,noun,2.69,atomic=False,
airing,noun,3.58,atomic=False,
airlift,noun,2.87,atomic=False,
airlifted,verb,2.6,atomic=False,
airline,noun,4.04,atomic=False,
airliner,noun,3.07,atomic=False,
airliners,noun,2.71,atomic=False,
airlines,noun,4.19,atomic=False,
airman,noun,2.88,atomic=False,
airmen,noun,3.02,atomic=False,
airplane,noun,3.92,atomic=False,
airplanes,noun,3.51,atomic=False,
airport,noun,4.84,atomic=False,
airports,noun,3.93,atomic=False,
airs,noun,3.51,atomic=True,
airship,noun,2.88,atomic=False,
airspace,noun,3.28,atomic=True,
airspeed,noun,2.61,atomic=False,
airstrip,noun,2.81,atomic=True,
airtight,adj,2.95,atomic=False,
airwaves,noun,2.98,atomic=False,
airway,noun,3.19,atomic=False,
airways,noun,3.72,atomic=False,
airy,adj,3.2,atomic=True,
ais,noun,3.06,atomic=True,
aisle,noun,3.72,atomic=True,
aisles,noun,3.15,atomic=True,
akin,adj,3.7,atomic=True,
ala,noun,3.53,atomic=True,
alabaster,noun,2.71,atomic=False,
alamo,noun,3.08,atomic=True,
alamos,noun,2.86,atomic=False,
alarm,noun,4.28,atomic=True,
alarmed,verb,3.48,atomic=True,
alarming,verb,3.53,atomic=False,
alarms,noun,3.57,atomic=True,
alas,noun,3.67,atomic=True,
alaska,noun,4.19,atomic=False,
alb,noun,2.62,atomic=True,
albatross,noun,2.9,atomic=False,
albino,noun,3.05,atomic=False,
album,noun,5.02,atomic=False,
albums,noun,4.19,atomic=False,
alchemist,noun,3.07,atomic=False,
alchemy,noun,3.21,atomic=False,
alcohol,noun,4.61,atomic=False,
alcoholic,noun,3.91,atomic=False,
alcohols,noun,2.8,atomic=False,
alcove,noun,2.62,atomic=False,
alder,noun,2.97,atomic=True,
alderman,noun,3.16,atomic=False,
aldermen,noun,2.76,atomic=False,
ale,noun,3.68,atomic=True,
alert,noun,4.33,atomic=True,
alerted,verb,3.32,atomic=False,
alerting,noun,2.98,atomic=False,
alertness,noun,2.75,atomic=False,
alerts,noun,3.56,atomic=True,
ales,noun,2.86,atomic=True,
alexander,noun,4.4,atomic=False,
alfalfa,noun,2.82,atomic=False,
algae,noun,3.54,atomic=False,
algal,adj,2.69,atomic=False,
algebra,noun,3.77,atomic=False,
algebraic,adj,3.19,atomic=False,
algebras,noun,2.74,atomic=False,
algorithm,noun,4.02,atomic=False,
alias,noun,3.46,atomic=True,
aliases,noun,2.84,atomic=False,
alibi,noun,3.1,atomic=False,
alien,noun,4.29,atomic=True,
alienate,verb,3.03,atomic=False,
alienated,verb,3.29,atomic=False,
aliens,noun,4.03,atomic=True,
alight,verb,3.0,atomic=True,
align,verb,3.63,atomic=True,
aligned,verb,3.8,atomic=True,
aligning,verb,3.02,atomic=False,
alignment,noun,3.78,atomic=False,
aligns,verb,2.88,atomic=True,
alike,adj,4.13,atomic=True,
alimony,noun,3.09,atomic=False,
alive,adj,4.76,atomic=True,
alkali,noun,2.94,atomic=False,
alkaline,adj,3.25,atomic=False,
alkaloids,noun,2.67,atomic=False,
alkyl,noun,2.81,atomic=True,
all,adj,6.52,atomic=True,
allay,verb,2.69,atomic=False,
allege,verb,3.18,atomic=False,
alleged,verb,4.37,atomic=False,
allegedly,adv,4.06,atomic=False,
alleges,verb,3.32,atomic=False,
alleging,verb,3.47,atomic=False,
allegory,noun,3.07,atomic=False,
allegro,noun,2.71,atomic=False,
allele,noun,2.91,atomic=False,
alleles,noun,2.82,atomic=False,
allergen,noun,2.63,atomic=False,
allergens,noun,2.71,atomic=False,
allergic,adj,3.78,atomic=False,
allergies,noun,3.63,atomic=False,
allergy,noun,3.6,atomic=False,
alleviate,verb,3.52,atomic=False,
alley,noun,3.87,atomic=False,
alleys,noun,3.06,atomic=False,
alleyway,noun,2.75,atomic=False,
alliance,noun,4.4,atomic=False,
alliances,noun,3.57,atomic=False,
allied,verb,4.07,atomic=False,
allies,noun,4.27,atomic=False,
alligator,noun,3.32,atomic=False,
allocate,verb,3.31,atomic=False,
allocated,verb,3.83,atomic=False,
allocates,verb,2.61,atomic=False,
allot,verb,2.79,atomic=False,
allotment,noun,3.13,atomic=False,
allotted,verb,3.28,atomic=False,
allow,verb,5.01,atomic=False,
allowable,adj,2.97,atomic=False,
allowance,noun,3.85,atomic=False,
allowed,verb,5.03,atomic=False,
allowing,verb,4.62,atomic=False,
allows,verb,4.67,atomic=False,
alloy,noun,3.61,atomic=False,
alloys,noun,3.2,atomic=False,
allude,verb,2.7,atomic=False,
alluded,verb,3.11,atomic=False,
alludes,verb,2.89,atomic=False,
alluding,verb,2.99,atomic=False,
allure,noun,3.15,atomic=False,
alluring,verb,3.02,atomic=False,
allusion,noun,2.94,atomic=False,
allusions,noun,2.9,atomic=False,
alluvial,adj,2.87,atomic=False,
ally,noun,4.1,atomic=False,
almanac,noun,3.06,atomic=False,
almighty,noun,3.72,atomic=True,
almond,noun,3.53,atomic=False,
almonds,noun,3.28,atomic=False,
almost,adv,5.39,atomic=False,
alms,noun,2.89,atomic=True,
aloe,noun,3.06,atomic=True,
aloft,adv,3.08,atomic=True,
aloha,noun,3.09,atomic=False,
alone,adj,5.16,atomic=True,
along,adv,5.38,atomic=True,
alongside,adv,4.45,atomic=False,
aloof,adj,2.99,atomic=True,
alopecia,noun,2.66,atomic=False,
aloud,adv,3.51,atomic=True,
alp,noun,3.07,atomic=True,
alpaca,noun,2.8,atomic=False,
alpha,noun,4.25,atomic=False,
alphabet,noun,3.7,atomic=False,
alphabets,noun,2.63,atomic=False,
alphas,noun,2.61,atomic=False,
alpine,adj,3.62,atomic=True,
alps,noun,3.56,atomic=True,
already,adv,5.55,atomic=False,
alright,adj,4.42,atomic=False,
als,noun,3.37,atomic=True,
also,adv,6.19,atomic=False,
alt,noun,3.81,atomic=True,
altar,noun,3.8,atomic=False,
altars,noun,2.89,atomic=False,
alter,verb,4.05,atomic=False,
altered,verb,4.02,atomic=False,
altering,noun,3.59,atomic=False,
alternate,noun,4.11,atomic=False,
alters,verb,3.11,atomic=False,
altitude,noun,3.92,atomic=False,
altitudes,noun,3.16,atomic=False,
alto,noun,3.47,atomic=False,
altruism,noun,2.94,atomic=False,
alum,noun,3.25,atomic=True,
alumina,noun,2.72,atomic=False,
aluminium,noun,3.73,atomic=False,
aluminum,noun,4.01,atomic=False,
alumni,noun,3.89,atomic=False,
alumnus,noun,2.91,atomic=False,
alveolar,noun,2.8,atomic=False,
always,adv,5.76,atomic=False,
amalgam,noun,2.85,atomic=False,
amass,verb,2.77,atomic=True,
amassed,verb,3.24,atomic=True,
amassing,verb,2.81,atomic=False,
amateur,noun,4.22,atomic=False,
amateurs,noun,3.4,atomic=False,
amaze,verb,3.19,atomic=True,
amazed,verb,3.91,atomic=True,
amazement,noun,3.0,atomic=False,
amazes,verb,3.08,atomic=True,
amazing,verb,5.1,atomic=False,
amazingly,adv,3.64,atomic=False,
amazon,noun,4.55,atomic=False,
amazons,noun,2.74,atomic=False,
amber,noun,3.97,atomic=False,
ambiance,noun,2.68,atomic=False,
ambience,noun,2.94,atomic=False,
ambient,adj,3.62,atomic=False,
ambiguity,noun,3.37,atomic=False,
ambiguous,adj,3.57,atomic=False,
ambition,noun,3.91,atomic=False,
ambitions,noun,3.64,atomic=False,
ambitious,adj,3.95,atomic=False,
ambrosia,noun,2.65,atomic=False,
ambulance,noun,4.06,atomic=False,
ambush,noun,3.55,atomic=False,
ambushed,verb,3.21,atomic=False,
amen,noun,3.93,atomic=True,
amenable,adj,2.89,atomic=True,
amend,verb,3.55,atomic=True,
amended,verb,3.78,atomic=False,
amending,verb,3.0,atomic=False,
amendment,noun,4.38,atomic=False,
amends,noun,3.32,atomic=True,
amenities,noun,3.53,atomic=False,
amenity,noun,2.75,atomic=False,
amethyst,noun,3.01,atomic=True,
amiable,adj,2.84,atomic=False,
amicable,adj,2.97,atomic=False,
amicably,adv,2.72,atomic=False,
amigo,noun,2.86,atomic=False,
amigos,noun,2.88,atomic=False,
amine,noun,2.79,atomic=True,
amines,noun,2.6,atomic=True,
amino,noun,3.72,atomic=True,
amir,noun,3.4,atomic=True,
amiss,adj,2.93,atomic=True,
amity,noun,2.89,atomic=False,
ammo,noun,3.48,atomic=False,
ammonia,noun,3.36,atomic=False,
ammonium,noun,3.03,atomic=False,
amnesia,noun,3.34,atomic=False,
amnesty,noun,3.63,atomic=True,
amniotic,adj,2.6,atomic=False,
amoeba,noun,2.64,atomic=False,
amok,adj,2.77,atomic=True,
amorous,adj,2.76,atomic=True,
amorphous,adj,2.95,atomic=False,
amount,noun,5.13,atomic=True,
amounted,verb,3.53,atomic=False,
amounting,verb,3.11,atomic=False,
amounts,noun,4.41,atomic=True,
amour,noun,3.03,atomic=True,
amp,noun,3.8,atomic=True,
amphibian,noun,2.72,atomic=False,
ample,adj,3.71,atomic=False,
amplified,verb,3.34,atomic=False,
amplifier,noun,3.45,atomic=False,
amplifies,verb,2.61,atomic=False,
amplify,verb,3.16,atomic=False,
amplitude,noun,3.28,atomic=False,
amply,adv,2.61,atomic=False,
amps,noun,3.15,atomic=True,
amputated,verb,2.93,atomic=False,
amputee,noun,2.72,atomic=False,
amulet,noun,2.99,atomic=True,
amulets,noun,2.6,atomic=True,
amuse,verb,3.12,atomic=True,
amused,verb,3.53,atomic=True,
amusement,noun,3.74,atomic=False,
amusing,verb,3.76,atomic=False,
amygdala,noun,2.84,atomic=False,
amyloid,noun,2.87,atomic=False,
ana,noun,3.89,atomic=True,
anabolic,adj,2.76,atomic=False,
anaconda,noun,2.97,atomic=False,
anaerobic,adj,2.97,atomic=False,
anagram,noun,2.67,atomic=False,
anal,adj,3.94,atomic=True,
analgesic,noun,2.68,atomic=False,
analog,noun,3.73,atomic=False,
analogies,noun,2.93,atomic=False,
analogous,adj,3.36,atomic=False,
analogs,noun,2.63,atomic=True,
analogue,noun,3.28,atomic=False,
analogues,noun,2.72,atomic=False,
analogy,noun,3.71,atomic=False,
analyse,verb,3.47,atomic=False,
analysed,verb,3.48,atomic=False,
analyses,noun,3.79,atomic=False,
analysing,verb,3.22,atomic=True,
analysis,noun,4.91,atomic=False,
analyst,noun,4.03,atomic=False,
analysts,noun,3.84,atomic=False,
